mask_ratio,num_masked,num_visible,avg_accuracy_inter,std_accuracy_inter,avg_mse_inter,avg_accuracy_intra,std_accuracy_intra,avg_mse_intra,avg_accuracy_random,std_accuracy_random,avg_mse_random
0.05,3,58,0.9195121400151401,0.08911862114879403,0.08048785998485983,0.9215208748274017,0.09763972428404265,0.0784791251725983,0.9243487642495893,0.09763562125315003,0.0756512357504107
0.06,4,57,0.9302237779740244,0.07092198898732507,0.06977622202597558,0.9089882949646563,0.10840314304256388,0.09101170503534377,0.9284652945864945,0.08153135801369381,0.07153470541350543
0.07,4,57,0.9308036652114242,0.06908077117700147,0.06919633478857577,0.9139399697980843,0.09345929502679536,0.08606003020191565,0.9257162107666954,0.09160268854165902,0.07428378923330456
0.08,5,56,0.9215333310607821,0.060976278275115744,0.07846666893921793,0.923785959505476,0.077735929461307,0.07621404049452395,0.9313951801229269,0.07382543534076072,0.06860481987707318
0.09,5,56,0.9265375050995499,0.05595210881633156,0.0734624949004501,0.9253568545915186,0.07749767884030341,0.07464314540848135,0.9350050138449296,0.06873964362606977,0.06499498615507036
0.1,6,55,0.9238916203379631,0.050429569202896256,0.0761083796620369,0.9268359308177605,0.0651734802752648,0.07316406918223947,0.9204428147617727,0.07155971806349455,0.07955718523822725
0.11,7,54,0.9310503019578755,0.04968717690573729,0.06894969804212452,0.8968603142909706,0.07376596275043418,0.10313968570902944,0.9219810878485442,0.05574016634348752,0.07801891215145589
0.12,7,54,0.9321671452745796,0.04796241610498775,0.06783285472542047,0.8930495893396437,0.08308018392069831,0.10695041066035628,0.9200808986276389,0.06078868201214619,0.07991910137236119
0.13,8,53,0.9394256246089935,0.03889165213910352,0.06057437539100647,0.8990808831527829,0.06693215523805965,0.10091911684721708,0.9174315531551838,0.05527761609019568,0.0825684468448162
0.14,9,52,0.9359391830675304,0.03817824952049813,0.06406081693246961,0.9035166936181486,0.06255250519370738,0.09648330638185143,0.925652688080445,0.051508443997583975,0.07434731191955507
0.15,9,52,0.9372056760266423,0.03818144246569055,0.06279432397335767,0.9078994138445705,0.05370751793025434,0.09210058615542949,0.9280547688249499,0.04903381357419204,0.07194523117505014
0.16,10,51,0.9392823842167854,0.04099144767502027,0.06071761578321457,0.9176152078993618,0.046619303091345266,0.08238479210063815,0.919146361257881,0.04807685790067542,0.08085363874211908
0.17,10,51,0.9392323234304786,0.04199551479095868,0.06076767656952143,0.9180863905232399,0.04874424702962259,0.08191360947676003,0.9173453726992011,0.06082179742332186,0.0826546273007989
0.18,11,50,0.9410530853085219,0.030662175701546866,0.05894691469147802,0.9143180678784847,0.04955502085168002,0.08568193212151527,0.9169215363636612,0.05565887060163836,0.08307846363633871
0.19,12,49,0.9428794410638511,0.02999150496027477,0.05712055893614888,0.9017453991621732,0.05113076573528001,0.09825460083782672,0.9166883059218526,0.051158214509102864,0.08331169407814741
0.2,12,49,0.9467553049325943,0.028445740628981985,0.0532446950674057,0.9083933464810252,0.04726223672604589,0.09160665351897478,0.9185211211629212,0.05048147550074313,0.08147887883707881
0.21,13,48,0.9526303595118225,0.02706630721228542,0.04736964048817754,0.90644307654351,0.04606062013754709,0.09355692345649004,0.9171616061870008,0.05151353179633632,0.08283839381299912
0.22,13,48,0.952215397451073,0.028514471930045464,0.047784602548927066,0.9054496444575488,0.04380078081603624,0.09455035554245114,0.91481270105578,0.054230032421869634,0.08518729894421995
0.23,14,47,0.9489871027879417,0.02986664209199494,0.0510128972120583,0.8989695893973112,0.03823464026190519,0.10103041060268879,0.9180572782643139,0.046292344387371544,0.08194272173568606
0.24,15,46,0.9449440152198076,0.029393457353387626,0.05505598478019238,0.8959788527712226,0.03835448577898703,0.10402114722877741,0.9251227616891264,0.0401262092404343,0.0748772383108735
0.25,15,46,0.943404133040458,0.02851929126617136,0.05659586695954204,0.8978368667885661,0.034390731363735154,0.10216313321143389,0.9262083796970546,0.03788191338642377,0.07379162030294538
0.26,16,45,0.902644420042634,0.026762124936052064,0.09735557995736599,0.9029892107844353,0.038809060651073424,0.09701078921556473,0.916341674271971,0.03488612478473549,0.08365832572802902
0.27,16,45,0.9027620378881693,0.025769928848112914,0.09723796211183071,0.9046335269883276,0.039312345138862635,0.0953664730116725,0.9145236075855792,0.03682524270187777,0.08547639241442084
0.28,17,44,0.8583777114748955,0.024209752165252292,0.14162228852510453,0.8878193387389183,0.04922085799393761,0.1121806612610817,0.9156513065099716,0.045897414569657444,0.08434869349002838
0.29,18,43,0.7503195551037788,0.03797144834551253,0.24968044489622115,0.8942903234809637,0.05031365027368917,0.10570967651903629,0.917976475097239,0.042489400859207986,0.08202352490276098
0.3,18,43,0.7386582732200623,0.039044406941583586,0.2613417267799377,0.8915682642161846,0.05328158686509523,0.10843173578381539,0.9198844090104104,0.04046328534178465,0.08011559098958969
0.31,19,42,0.7577721416950226,0.03384476444034006,0.24222785830497742,0.8865237022563816,0.05446621128648356,0.11347629774361849,0.9129237368516624,0.04172940086131016,0.08707626314833761
0.32,20,41,0.7544724294543266,0.03465715787403754,0.24552757054567337,0.890584544017911,0.0498606924282911,0.10941545598208904,0.9105312616191804,0.03964624363643459,0.08946873838081956
0.33,20,41,0.7514290761947632,0.04123576923936795,0.24857092380523682,0.8882636989280581,0.05442694700883285,0.11173630107194185,0.9163549389131367,0.03716411013034496,0.08364506108686327
0.34,21,40,0.7630933046340942,0.03570081302203312,0.23690669536590575,0.8924224687181413,0.049468356973135466,0.10757753128185868,0.915441692173481,0.04008471642876237,0.08455830782651902
0.35,21,40,0.7694291803240776,0.03585845040822245,0.23057081967592238,0.8926979628205299,0.048529674489138454,0.10730203717947007,0.912965897358954,0.03950395670924777,0.08703410264104605
0.36,22,39,0.7661128294467926,0.03695673014250616,0.2338871705532074,0.8819255004823208,0.04688550680527913,0.11807449951767922,0.9085411019250751,0.04271816658597118,0.09145889807492495
0.37,23,38,0.7824722051620483,0.03400842029335975,0.21752779483795165,0.8805554926395416,0.05389012567161421,0.11944450736045838,0.9142187014594674,0.032373745688061444,0.08578129854053258
0.38,23,38,0.7792308780550957,0.038932730415972824,0.22076912194490433,0.8827360970526934,0.0523926584889235,0.11726390294730664,0.9147818854823708,0.030285575461840724,0.08521811451762915
0.39,24,37,0.775170433819294,0.026313123420394147,0.22482956618070601,0.8815068023651839,0.05237728262690699,0.11849319763481617,0.9114171651005745,0.0394159901249837,0.0885828348994255
0.4,24,37,0.7748842644691467,0.03187170824281662,0.22511573553085326,0.8812668477743864,0.052728949010507994,0.11873315222561359,0.9134718599170446,0.03832768477103416,0.08652814008295535
0.41,25,36,0.7771143987774849,0.03250245494420638,0.2228856012225151,0.8803489386290312,0.05276969457202375,0.11965106137096881,0.9118773189187049,0.03335630905982894,0.088122681081295
0.42,26,35,0.7877848672866822,0.03330215769095899,0.21221513271331788,0.8902931647002696,0.045743380889502715,0.1097068352997303,0.9088023994863034,0.03214621078315617,0.09119760051369667
0.43,26,35,0.7886889442801476,0.031496999170480246,0.21131105571985245,0.8904090912640095,0.047207191079924674,0.10959090873599052,0.907675694860518,0.030011975944969283,0.09232430513948202
0.44,27,34,0.7918875879049301,0.02968639335146928,0.2081124120950699,0.8846349528431893,0.046403956020127646,0.11536504715681076,0.9010875164344907,0.028151236977872245,0.09891248356550932
0.45,27,34,0.7899824619293213,0.0330025990989555,0.21001753807067872,0.8862427244335414,0.038750934412651684,0.1137572755664587,0.8989695420861245,0.03357944456078609,0.10103045791387558
0.46,28,33,0.8024744400382042,0.030600151754585164,0.1975255599617958,0.8831585195660591,0.04835691809491061,0.11684148043394088,0.9025915336981416,0.0375867220715859,0.09740846630185843
0.47,29,32,0.8047756084799766,0.03139103347007245,0.19522439152002335,0.8868493232131004,0.04432149299198528,0.11315067678689956,0.8958880049735307,0.03831756897840402,0.10411199502646923
0.48,29,32,0.8056382021307945,0.0394911256060938,0.1943617978692055,0.8807773941755295,0.04905718634723365,0.11922260582447052,0.8972075875848532,0.04314159409957819,0.10279241241514683
0.49,30,31,0.8152589836716652,0.03389650972356517,0.1847410163283348,0.8783285842835903,0.045219062406143616,0.12167141571640969,0.8987964019179344,0.04104108453334534,0.10120359808206558
0.5,31,30,0.820695424079895,0.029964790652469465,0.17930457592010499,0.8777911915630102,0.04290647568492929,0.12220880843698978,0.8836367245018483,0.04509241595716866,0.11636327549815179
0.51,31,30,0.8197027140855789,0.02287095033410719,0.18029728591442107,0.8744680612534285,0.0437580980646892,0.12553193874657154,0.8865406856685877,0.044091388797012784,0.11345931433141232
0.52,32,29,0.8178958639502525,0.02491206022004041,0.18210413604974746,0.8844804434478283,0.036179366830907424,0.1155195565521717,0.8908279928565025,0.03752454155030861,0.10917200714349747
0.53,32,29,0.8142080962657928,0.032683802938136476,0.18579190373420715,0.8832155834138393,0.03642993626161835,0.11678441658616066,0.8921765423566103,0.03679918377187633,0.1078234576433897
0.54,33,28,0.8194807446002961,0.02425460037749861,0.18051925539970398,0.8791205660998821,0.037842172617449855,0.12087943390011788,0.8901773047447205,0.04054875658721676,0.10982269525527955
0.55,34,27,0.8189357683062554,0.028260362029035015,0.18106423169374466,0.875136603564024,0.03926026739541051,0.12486339643597603,0.8775605025142431,0.050064778380632106,0.12243949748575687
0.56,34,27,0.8165141859650612,0.029197462560346752,0.1834858140349388,0.8713639612495899,0.03936598703831718,0.12863603875041008,0.8815940953791142,0.04632761296832726,0.11840590462088585
0.57,35,26,0.8280312685668468,0.028657724676316717,0.17196873143315317,0.8685564149171114,0.04212523015513605,0.13144358508288861,0.8827835186570883,0.044519767659740486,0.11721648134291172
0.58,35,26,0.8212920053303242,0.032570285970356626,0.17870799466967582,0.8665483398735523,0.04735383832442366,0.13345166012644769,0.8867490681260825,0.03848431535138892,0.11325093187391758
