cluster,target_sensor,target_sensor_id,cluster_size,num_mates_visible,total_visible,avg_mse_intra,std_mse_intra,avg_acc_intra,std_acc_intra,avg_1mse_intra,avg_mse_inter,std_mse_inter,avg_acc_inter,std_acc_inter,avg_1mse_inter,mse_reduction_pct,acc_delta
Cluster_0,S33,33,6,5,18,0.024694074373692275,0.01431417389338047,0.9949055892694741,0.001362258677559563,0.9753059256263077,0.034938082974404094,0.03132950088386702,0.9944726377562619,0.0026176485974620483,0.9650619170255959,29.32046476337013,0.0004329515132122097
Cluster_0,S34,34,6,5,18,0.047504641264677044,0.010674943266962372,0.9986431998899207,0.00015917176844981973,0.952495358735323,0.5943082025647164,0.2627634605765157,0.9953915535612032,0.0010669374063199152,0.4056917974352836,92.00673287366055,0.003251646328717439
Cluster_0,S35,35,6,5,18,0.04727397456765175,0.013532398213727656,0.9986617566668429,0.0002119869553426292,0.9527260254323483,0.6872333920001984,0.326954038758407,0.9950553880864754,0.0011918904860959145,0.3127666079998016,93.12111779649246,0.0036063685803674472
Cluster_0,S38,38,6,5,18,0.016657809568569062,0.009472674131001384,0.9984620964061469,0.00042218415274138983,0.9833421904314309,0.027666712356731297,0.02031768078056321,0.9981538816960529,0.000649609256192494,0.9723332876432687,39.791147745721574,0.00030821471009401247
Cluster_0,S46,46,6,5,18,0.0031998604733962568,0.0016561406511024985,0.9934357410529628,0.001733951324803307,0.9968001395266037,0.003107306114397943,0.0011665055661136505,0.9933652075286955,0.0014458985690549047,0.9968926938856021,-2.978603517156575,7.05335242673355e-05
Cluster_0,S51,51,6,5,18,0.08424050144851208,0.02224196719123902,0.864321264475584,0.018950089551703717,0.9157594985514879,0.190217077806592,0.1561683507498786,0.8086282275617123,0.06202284045917634,0.809782922193408,55.71349167118388,0.05569303691387173
Cluster_1,S2,2,6,5,18,0.029762819713214414,0.09179811446114884,0.9426662652753294,0.0690826477212027,0.9702371802867856,0.00667587089817971,0.02827998387257435,0.9686031267791987,0.03253914099178152,0.9933241291018203,-345.8267199724092,-0.025936861503869313
Cluster_1,S6,6,6,5,18,0.00441240651300177,0.001565665711235577,0.9918323789257556,0.00160248594671349,0.9955875934869982,0.004207292697392404,0.001645851760598464,0.9920990397734567,0.0018279145976062535,0.9957927073026076,-4.875196037217267,-0.00026666084770110565
Cluster_1,S16,16,6,5,18,0.693606842160225,0.3382703513356857,0.8805243148654699,0.03299760925249409,0.30639315783977505,0.6740991947054863,0.33461367549784554,0.8848903051018715,0.034119966522598646,0.3259008052945137,-2.893883805086386,-0.004365990236401607
Cluster_1,S18,18,6,5,18,0.0026462897239252926,0.0007645316993902925,-48.75024551391601,7.502471016414287,0.9973537102760747,0.0028557924611959606,0.0011093390601404367,-49.8310725402832,10.195685453377218,0.9971442075388041,7.3360605420999745,1.0808270263671886
Cluster_1,S25,25,6,5,18,0.007273109988309443,0.0027951028826950393,0.999446801218437,0.0001135896432843363,0.9927268900116906,0.008659056881442665,0.0034934257620199013,0.99939641417237,0.00013197086293129928,0.9913409431185574,16.005746954336253,5.0387046066968644e-05
Cluster_1,S43,43,6,5,18,0.003346407301723957,0.0012229768475942985,0.9930019388953224,0.0014309254535088572,0.996653592698276,0.005183981088921427,0.00181469138081596,0.9912132256198675,0.0017091305705850244,0.9948160189110786,35.44714768834769,0.001788713275454934
Cluster_2,S8,8,4,3,18,0.00849114785436541,0.01206675972530298,0.9951900916639715,0.0021307338717647087,0.9915088521456346,0.017776546245440842,0.03197220520102749,0.9936948699876667,0.0038491423450788672,0.9822234537545591,52.23398145248292,0.001495221676304892
