cluster,target_sensor,target_sensor_id,cluster_size,num_mates_visible,total_visible,avg_mse_intra,std_mse_intra,avg_acc_intra,std_acc_intra,avg_1mse_intra,avg_mse_inter,std_mse_inter,avg_acc_inter,std_acc_inter,avg_1mse_inter,mse_reduction_pct,acc_delta
Cluster_4,S26,26,6,5,18,0.5143027284741402,0.20767181395656426,0.9947066840110347,0.0015555717558093922,0.48569727152585984,0.5051287677884102,0.17836214152834368,0.9946732464293018,0.0013886694707957836,0.4948712322115898,-1.8161627791927981,3.3437581732909116e-05
Cluster_4,S36,36,6,5,18,0.49619141072034834,0.2277128862373659,0.9746805145964026,0.006304456918857397,0.5038085892796517,0.6223103442788124,0.3684478987861132,0.971770814023912,0.008293454322410326,0.3776896557211876,20.266244087901068,0.0029097005724906255
Cluster_4,S54,54,6,5,18,0.025214871698990463,0.01914632503484438,0.995685135491658,0.0017130030664556134,0.9747851283010095,0.033373649436980485,0.024995942170152184,0.9948732297029346,0.0021651896661284272,0.9666263505630195,24.4467645317861,0.0008119057887234771
Cluster_5,S5,5,3,2,18,0.09168757855892182,0.013914343425479868,0.5042969006299972,0.04325368366066143,0.9083124214410782,0.0879625515639782,0.013998977826207265,0.5172669303417206,0.044743964834102076,0.9120374484360219,-4.234787288868498,-0.012970029711723341
Cluster_5,S44,44,3,2,18,0.027662623589858413,0.012112921987007839,0.9801363274827599,0.005353390681312547,0.9723373764101416,0.02883119836449623,0.011827232326967191,0.9796533743478357,0.005146151497589971,0.9711688016355038,4.053160466424586,0.0004829531349241911
Cluster_5,S55,55,3,2,18,0.067458729557693,0.10508153709340544,0.9531926370412112,0.02348425352360406,0.9325412704423071,0.06318090148270131,0.08841424399469261,0.9545438297465444,0.021780173637216103,0.9368190985172987,-6.770761269456295,-0.0013511927053332373
Cluster_6,S4,4,6,5,18,0.02682289662770927,0.06019271531820001,0.9810156806092709,0.014448330134328814,0.9731771033722907,0.033716213423758745,0.07213245306013168,0.9816819600574672,0.015471871438276216,0.9662837865762413,20.445109019095497,-0.0006662794481963052
Cluster_6,S32,32,6,5,18,0.11869074761867524,0.06885719055048055,0.9978367138793692,0.0006997231860576245,0.8813092523813247,0.09776454299688339,0.06808098866422552,0.9981262959074229,0.0006426879554023169,0.9022354570031166,-21.40469721053365,-0.00028958202805362543
Cluster_6,S40,40,6,5,18,0.04989998122677207,0.0719165620893651,0.9468281042575836,0.030046504867178477,0.9501000187732279,0.0358368456363678,0.028971522274719705,0.9499481059983372,0.01809248927713518,0.9641631543636322,-39.242112268139074,-0.003120001740753664
Cluster_6,S47,47,6,5,18,0.003974703713320196,0.0014518610675589379,0.9925242718402296,0.0015359421150860848,0.9960252962866798,0.0033014787011779846,0.001330493891481595,0.9933010635012761,0.0015163799059773216,0.996698521298822,-20.391614460085915,-0.0007767916610464942
