antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'S0'}),frozenset({'S29'}),0.5713585090730751,0.8675821481118196,0.5031878371750859,0.88068669527897,1.0151046759037987,1.0,0.007487394531500879,1.109833075177916,0.0347141372373217,0.5377358490566038,0.09896359879192533,0.7303376947282357
frozenset({'S29'}),frozenset({'S0'}),0.8675821481118196,0.5713585090730751,0.5031878371750859,0.5799886941775014,1.0151046759037985,1.0,0.007487394531500879,1.0205475066618173,0.11237094794599693,0.5377358490566038,0.020133807125772733,0.7303376947282357
frozenset({'S1'}),frozenset({'S29'}),0.5816576753310446,0.8675821481118196,0.50465914664051,0.8676222596964587,1.000046233759796,1.0,2.333121107500613e-05,1.0003030085310955,0.00011051146300061472,0.5342679127725857,0.0003029167447376827,0.7246534136243741
frozenset({'S29'}),frozenset({'S1'}),0.8675821481118196,0.5816576753310446,0.50465914664051,0.5816845675522894,1.000046233759796,1.0,2.333121107500613e-05,1.0000642869451108,0.00034913436273897923,0.5342679127725857,6.428281256510637e-05,0.7246534136243741
frozenset({'S29'}),frozenset({'S7'}),0.8675821481118196,0.5836194212849436,0.5159391858754291,0.5946862634256641,1.0189624295167472,1.0,0.009601394677260733,1.0273043845842882,0.1405365441487105,0.5516518091242788,0.026578670347384127,0.7393599384355212
frozenset({'S7'}),frozenset({'S29'}),0.5836194212849436,0.8675821481118196,0.5159391858754291,0.8840336134453781,1.0189624295167472,1.0,0.009601394677260733,1.141864085122715,0.04469360061266411,0.5516518091242788,0.12423902894491085,0.7393599384355212
frozenset({'S8'}),frozenset({'S29'}),0.5899950956351152,0.8675821481118196,0.5120156939676312,0.8678304239401498,1.0002861698213483,1.0,0.00014648152107954449,1.0018784642860454,0.0006977671451357366,0.54149377593361,0.0018749422739454905,0.7289971791831896
frozenset({'S29'}),frozenset({'S8'}),0.8675821481118196,0.5899950956351152,0.5120156939676312,0.5901639344262295,1.0002861698213483,1.0,0.00014648152107954449,1.0004119666503188,0.0021604938271610223,0.54149377593361,0.0004117970036866467,0.7289971791831896
frozenset({'S29'}),frozenset({'S11'}),0.8675821481118196,0.575282000980873,0.5007356547327121,0.5771622385528546,1.0032683754554736,1.0,0.0016312605516604073,1.0044467115840048,0.02460187905829336,0.5314940135346173,0.004427025876755837,0.723789985431585
frozenset({'S11'}),frozenset({'S29'}),0.575282000980873,0.8675821481118196,0.5007356547327121,0.8704177323103154,1.0032683754554736,1.0,0.0016312605516604073,1.0218825017423396,0.00767033180801294,0.5314940135346173,0.02141391178049261,0.723789985431585
frozenset({'S29'}),frozenset({'S12'}),0.8675821481118196,0.5914664051005395,0.5159391858754291,0.5946862634256641,1.0054438566541701,1.0,0.002793491602327336,1.0079441134967162,0.040888607238415545,0.5470618824752989,0.007881501950695183,0.7334957021937607
frozenset({'S12'}),frozenset({'S29'}),0.5914664051005395,0.8675821481118196,0.5159391858754291,0.8723051409618573,1.0054438566541701,1.0,0.002793491602327336,1.036986554397049,0.013253210029258338,0.5470618824752989,0.0356673423008406,0.7334957021937607
frozenset({'S29'}),frozenset({'S13'}),0.8675821481118196,0.5703776360961256,0.5002452182442374,0.5765969474279254,1.0109038485000343,1.0,0.005395763485019078,1.0146888674845846,0.08145606390704432,0.5334728033472804,0.014476228088515909,0.7268195399220453
frozenset({'S13'}),frozenset({'S29'}),0.5703776360961256,0.8675821481118196,0.5002452182442374,0.8770421324161651,1.0109038485000343,1.0,0.005395763485019078,1.0769367954262512,0.025106321067239683,0.5334728033472804,0.07144039998726165,0.7268195399220453
frozenset({'S29'}),frozenset({'S14'}),0.8675821481118196,0.5738106915154487,0.5041687101520353,0.5811192764273602,1.0127369270387927,1.0,0.006340797797533715,1.0174478902957778,0.09497766248739073,0.5379382522239666,0.01714868197397863,0.7298758775299194
frozenset({'S14'}),frozenset({'S29'}),0.5738106915154487,0.8675821481118196,0.5041687101520353,0.8786324786324787,1.0127369270387925,1.0,0.006340797797533715,1.0910484979519102,0.02950974553693382,0.5379382522239666,0.08345045900601508,0.7298758775299194
frozenset({'S29'}),frozenset({'S15'}),0.8675821481118196,0.616969102501226,0.5355566454144188,0.6172979084228377,1.000532937419846,1.0,0.00028526614778379145,1.0008591693874904,0.004022520689188091,0.5643410852713179,0.0008584318491244324,0.7426712117630883
frozenset({'S15'}),frozenset({'S29'}),0.616969102501226,0.8675821481118196,0.5355566454144188,0.8680445151033387,1.000532937419846,1.0,0.00028526614778379145,1.0035039618995847,0.001390628151191785,0.5643410852713179,0.0034917270211389604,0.7426712117630883
frozenset({'S27'}),frozenset({'S19'}),0.805787150564002,0.6336439431093673,0.5125061304561059,0.6360316494217894,1.00376821452866,1.0,0.0019239830658702717,1.00656020312928,0.01932966023875124,0.5529100529100528,0.0065174473507744355,0.7224275894167771
frozenset({'S19'}),frozenset({'S27'}),0.6336439431093673,0.805787150564002,0.5125061304561059,0.8088235294117647,1.00376821452866,1.0,0.0019239830658702717,1.015882597049836,0.010247048801265719,0.5529100529100528,0.015634284016637013,0.7224275894167771
frozenset({'S29'}),frozenset({'S20'}),0.8675821481118196,0.6302108876900442,0.5487984306032369,0.6325607687959298,1.0037287218481719,1.0,0.0020387148976516167,1.0063952918097103,0.028054148876309703,0.5782945736434106,0.006354651956101862,0.751688944709249
frozenset({'S20'}),frozenset({'S29'}),0.6302108876900442,0.8675821481118196,0.5487984306032369,0.870817120622568,1.0037287218481719,1.0,0.0020387148976516167,1.0250418052789865,0.010045915380110898,0.5782945736434106,0.024430033145985495,0.751688944709249
frozenset({'S29'}),frozenset({'S21'}),0.8675821481118196,0.5846002942618931,0.5080922020598333,0.5856416054267948,1.0017812361285525,1.0,0.0009034229772982849,1.0025130688277095,0.01342771342771394,0.5381818181818182,0.0025067691443147002,0.7273845611026593
frozenset({'S21'}),frozenset({'S29'}),0.5846002942618931,0.8675821481118196,0.5080922020598333,0.8691275167785236,1.0017812361285525,1.0,0.0009034229772982849,1.0118082016071235,0.00428038090375769,0.5381818181818182,0.011670395227442978,0.7273845611026593
frozenset({'S29'}),frozenset({'S22'}),0.8675821481118196,0.5777341834232467,0.5051495831289848,0.5822498586772188,1.0078161815304323,1.0,0.003917719237016559,1.0108095122114704,0.05856886012225935,0.5372978612415233,0.010693916193785305,0.7283065931756214
frozenset({'S22'}),frozenset({'S29'}),0.5777341834232467,0.8675821481118196,0.5051495831289848,0.8743633276740239,1.0078161815304323,1.0,0.003917719237016559,1.0539745238126808,0.018366541501753795,0.5372978612415233,0.05121046343457297,0.7283065931756214
frozenset({'S29'}),frozenset({'S37'}),0.8675821481118196,0.5880333496812162,0.5110348209906818,0.5890333521763709,1.0017005880630694,1.0,0.0008675843128634897,1.0024332935542346,0.012820786237294834,0.541017653167186,0.0024273870090717967,0.7290454500665008
frozenset({'S37'}),frozenset({'S29'}),0.5880333496812162,0.8675821481118196,0.5110348209906818,0.8690575479566307,1.0017005880630696,1.0,0.0008675843128634897,1.0112675440377616,0.004120967004844767,0.541017653167186,0.011142001050259049,0.7290454500665008
frozenset({'S41'}),frozenset({'S29'}),0.5831289847964689,0.8675821481118196,0.5179009318293281,0.8881412952060553,1.0236970610091276,1.0,0.011988634573342982,1.1837956834214007,0.05552918894830604,0.5552050473186119,0.15525963305609916,0.7425443615657183
frozenset({'S29'}),frozenset({'S41'}),0.8675821481118196,0.5831289847964689,0.5179009318293281,0.5969474279253815,1.0236970610091276,1.0,0.011988634573342982,1.0342844682959977,0.1748141133557783,0.5552050473186119,0.03314800651747378,0.7425443615657183
frozenset({'S29'}),frozenset({'S46'}),0.8675821481118196,0.5880333496812162,0.5154487493869544,0.5941209723007349,1.0103525125281057,1.0,0.005281512709136127,1.0149986133898725,0.07737956795996878,0.5482524778299427,0.014776979191903064,0.7353423877350214
frozenset({'S46'}),frozenset({'S29'}),0.5880333496812162,0.8675821481118196,0.5154487493869544,0.8765638031693078,1.0103525125281054,1.0,0.005281512709136127,1.0727635433373544,0.024872003987132817,0.5482524778299427,0.06782812837858736,0.7353423877350214
frozenset({'S29'}),frozenset({'S52'}),0.8675821481118196,0.5929377145659637,0.5183913683178029,0.5975127190503109,1.007715826421492,1.0,0.003969192218151174,1.0113668299618122,0.05782262868355616,0.5502342529932328,0.01123907728142649,0.7358944902116733
frozenset({'S52'}),frozenset({'S29'}),0.5929377145659637,0.8675821481118196,0.5183913683178029,0.8742762613730356,1.007715826421492,1.0,0.003969192218151174,1.0532446245579619,0.018809770776578503,0.5502342529932328,0.05055295162822048,0.7358944902116733
frozenset({'S29'}),frozenset({'S53'}),0.8675821481118196,0.6199117214320745,0.5380088278567925,0.6201243640474844,1.0003430208012822,1.0,0.0001844849370573609,1.0005597690277679,0.0025895540024972363,0.5666322314049587,0.0005594558617041739,0.7440020554414637
frozenset({'S53'}),frozenset({'S29'}),0.6199117214320745,0.8675821481118196,0.5380088278567925,0.867879746835443,1.0003430208012822,1.0,0.0001844849370573609,1.0022524837524553,0.0009021672008700046,0.5666322314049587,0.0022474214721044912,0.7440020554414637
frozenset({'S57'}),frozenset({'S29'}),0.5826385483079941,0.8675821481118196,0.508582638548308,0.8728956228956228,1.0061244630210147,1.0,0.0030958352345062945,1.0418040267758828,0.014584917398216456,0.5401041666666666,0.04012657438583296,0.7295512597236735
frozenset({'S29'}),frozenset({'S57'}),0.8675821481118196,0.5826385483079941,0.508582638548308,0.5862068965517241,1.0061244630210147,1.0,0.0030958352345062945,1.0086235082556807,0.04596949891067484,0.5401041666666666,0.008549779164471714,0.7295512597236735
