epoch,train_loss,val_loss,lr
1,0.8912577247619629,0.5427026391029358,0.0009999901304280686
2,0.6889851331710816,0.4810481250286102,0.0009999605221019082
3,0.553165642619133,0.25134259164333345,0.0009999111761904045
4,0.36849783033132555,0.1956888273358345,0.00099984209464165
5,0.34974874317646026,0.22067117393016816,0.0009997532801828658
6,0.3055132058262825,0.19383515119552613,0.0009996447363202945
7,0.2823984086513519,0.18279365003108977,0.0009995164673390624
8,0.2731455823779106,0.17632972449064255,0.0009993684783030088
9,0.27206899553537367,0.18340239375829698,0.0009992007750544876
10,0.2545903265476227,0.18174072355031967,0.0009990133642141358
11,0.2737979874014854,0.18790278434753419,0.0009988062531806126
12,0.2365928155183792,0.17363342493772507,0.000998579450130307
13,0.23745310485363005,0.19388672858476638,0.0009983329640170149
14,0.2410534706711769,0.16868373453617097,0.0009980668045715864
15,0.22958167731761933,0.18768490254878997,0.0009977809823015402
16,0.22116512835025787,0.16759946346282958,0.0009974755084906502
17,0.2111682277917862,0.16527432203292847,0.0009971503951984996
18,0.25329504132270814,0.17331392467021942,0.0009968056552600044
19,0.20622872084379196,0.16329309344291687,0.000996441302284907
20,0.19947306483983993,0.18035514354705812,0.0009960573506572392
21,0.19865661561489106,0.1809207245707512,0.0009956538155347534
22,0.2056446972489357,0.17541222125291825,0.0009952307128483257
23,0.20030122369527817,0.17064229696989058,0.0009947880593013255
24,0.21274408400058747,0.18864928781986237,0.000994325872368957
25,0.22675216495990752,0.16714829504489898,0.0009938441702975688
26,0.19619302839040756,0.16880154460668564,0.000993342972103934
27,0.19851528257131576,0.17680997550487518,0.000992822297574499
28,0.19492147088050843,0.17399520725011824,0.0009922821672646027
29,0.21613420516252518,0.17514701634645463,0.0009917226024976648
30,0.1907120916247368,0.17117949724197387,0.0009911436253643444
31,0.19705065041780473,0.15384501963853836,0.000990545258721667
32,0.19086910039186478,0.178116175532341,0.0009899275261921233
33,0.18913083106279374,0.16717688441276551,0.000989290452162736
