mask_ratio,num_masked,num_visible,avg_accuracy,std_accuracy,avg_relative_error,masked_sensors
0.53,32,29,0.0,0.0,433872.49125,"[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 13, 14, 18, 21, 22, 23, 25, 28, 38, 39, 40, 41, 42, 44, 45, 47, 48, 50, 54, 55, 57, 58]"
0.54,32,29,0.0,0.0,432930.0825,"[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 13, 14, 18, 21, 22, 23, 25, 28, 38, 39, 40, 41, 42, 44, 45, 47, 48, 50, 54, 55, 57, 58]"
0.55,33,28,0.0,0.0,609606.7175,"[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 13, 14, 18, 21, 22, 23, 25, 28, 37, 38, 39, 40, 41, 42, 44, 45, 47, 48, 50, 54, 55, 57, 58]"
0.56,34,27,0.0,0.0,588076.57125,"[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 13, 14, 18, 21, 22, 23, 25, 28, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 50, 54, 55, 57, 58]"
0.57,34,27,0.0,0.0,595058.35875,"[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 13, 14, 18, 21, 22, 23, 25, 28, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 50, 54, 55, 57, 58]"
0.58,35,26,0.0,0.0,570683.615,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 18, 21, 22, 23, 25, 28, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 50, 54, 55, 57, 58]"
0.59,35,26,0.0,0.0,566636.71625,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 18, 21, 22, 23, 25, 28, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 50, 54, 55, 57, 58]"
0.6,36,25,0.0,0.0,557145.500625,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 18, 21, 22, 23, 25, 28, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 54, 55, 57, 58]"
0.61,37,24,0.0,0.0,716277.87375,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 21, 22, 23, 25, 28, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 54, 55, 57, 58]"
0.62,37,24,0.0,0.0,717497.70375,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 21, 22, 23, 25, 28, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 54, 55, 57, 58]"
0.63,38,23,0.0,0.0,781844.15625,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 21, 22, 23, 25, 28, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 54, 55, 57, 58]"
0.64,39,22,0.0,0.0,760232.905,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 21, 22, 23, 25, 28, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 52, 54, 55, 57, 58]"
