sensor_id,importance,retain_prob,category
S29,0.8213066796684545,0.9,golden
S27,0.7800585080448561,0.7215189873417717,golden
S30,0.7417357386640663,0.5556962025316454,normal
S16,0.7364700146270112,0.5329113924050634,normal
S26,0.7218430034129693,0.4696202531645568,normal
S60,0.7189176011701609,0.4569620253164558,normal
S59,0.6972696245733788,0.3632911392405064,normal
S35,0.6960994636762554,0.3582278481012656,normal
S36,0.6890784982935153,0.32784810126582276,normal
S34,0.6817649926864944,0.2962025316455697,normal
S19,0.6814724524622136,0.2949367088607596,normal
S20,0.6779619697708434,0.2797468354430379,normal
S53,0.6724037055095076,0.2556962025316458,normal
S51,0.6709410043881033,0.24936708860759502,redundant
S15,0.6700633837152609,0.24556962025316484,redundant
S31,0.6683081423695758,0.23797468354430398,redundant
S56,0.6653827401267673,0.2253164556962024,redundant
S3,0.6647976596782057,0.22278481012658227,redundant
S32,0.6627498781082398,0.21392405063291137,redundant
S33,0.6609946367625548,0.2063291139240505,redundant
S24,0.6604095563139931,0.20379746835443038,redundant
S49,0.6563139931740614,0.18607594936708854,redundant
S12,0.6560214529497805,0.18481012658227847,redundant
S52,0.6548512920526572,0.17974683544303824,redundant
S43,0.6548512920526572,0.17974683544303824,redundant
S17,0.6542662116040956,0.1772151898734181,redundant
S8,0.653388590931253,0.17341772151898743,redundant
S21,0.653388590931253,0.17341772151898743,redundant
S37,0.653388590931253,0.17341772151898743,redundant
S7,0.6513408093612871,0.16455696202531656,redundant
S45,0.6513408093612871,0.16455696202531656,redundant
S54,0.6507557289127255,0.1620253164556964,redundant
S46,0.6507557289127255,0.1620253164556964,redundant
S41,0.6507557289127255,0.1620253164556964,redundant
S5,0.6504631886884447,0.16075949367088635,redundant
S55,0.6481228668941978,0.1506329113924049,redundant
S22,0.6472452462213554,0.1468354430379747,redundant
S6,0.6472452462213554,0.1468354430379747,redundant
S1,0.6460750853242321,0.14177215189873446,redundant
S11,0.6457825450999513,0.1405063291139244,redundant
S18,0.6457825450999513,0.1405063291139244,redundant
S44,0.6454900048756704,0.13924050632911433,redundant
S28,0.6454900048756704,0.13924050632911433,redundant
S0,0.6451974646513896,0.13797468354430426,redundant
S2,0.644319843978547,0.1341772151898736,redundant
S57,0.644319843978547,0.1341772151898736,redundant
S4,0.6440273037542662,0.13291139240506356,redundant
S40,0.6437347635299854,0.13164556962025348,redundant
S38,0.6437347635299854,0.13164556962025348,redundant
S13,0.6431496830814237,0.12911392405063335,redundant
S25,0.6416869819600195,0.12278481012658256,redundant
S47,0.6416869819600195,0.12278481012658256,redundant
S39,0.6416869819600195,0.12278481012658256,redundant
S48,0.6405168210628962,0.11772151898734232,redundant
S14,0.6405168210628962,0.11772151898734232,redundant
S9,0.6399317406143344,0.11518987341772172,redundant
S10,0.6393466601657728,0.11265822784810159,redundant
S58,0.6393466601657728,0.11265822784810159,redundant
S42,0.6390541199414919,0.11139240506329104,redundant
S50,0.6381764992686494,0.10759493670886086,redundant
S23,0.6364212579229643,0.1,redundant
