group,mask_id,original_loss,finetuned_loss,improvement,improvement_pct
最难 Top-10 (原始Loss最高),4503,0.28910994827747344,0.2790671467781067,0.01004280149936676,3.4736962734081276
最难 Top-10 (原始Loss最高),1749,0.304439577460289,0.26405616402626036,0.040383413434028625,13.264836908169809
最难 Top-10 (原始Loss最高),384,0.2689282029867172,0.29619015455245973,-0.027261951565742515,-10.137260154558437
最难 Top-10 (原始Loss最高),62,0.28612932115793227,0.26066603809595107,0.0254632830619812,8.899221847986162
最难 Top-10 (原始Loss最高),3150,0.26110671907663346,0.3345312029123306,-0.07342448383569716,-28.120488088300576
最难 Top-10 (原始Loss最高),1024,0.27131869494915006,0.27131314277648927,5.55217266079433e-06,0.0020463656814488605
最难 Top-10 (原始Loss最高),437,0.27704934775829315,0.2877079635858536,-0.010658615827560447,-3.8471903701644403
最难 Top-10 (原始Loss最高),4491,0.29190580248832704,0.3488423556089401,-0.056936553120613076,-19.50511179814245
最难 Top-10 (原始Loss最高),350,0.24935359060764312,0.3344984591007233,-0.08514486849308017,-34.14623719096762
最难 Top-10 (原始Loss最高),3912,0.24093647599220275,0.3502152025699615,-0.10927872657775878,-45.355825068718644
中等难度 Mid-10,556,0.09498485997319221,0.09573357328772544,-0.0007487133145332309,-0.7882449000235847
中等难度 Mid-10,4228,0.08957706689834595,0.10118033736944199,-0.011603270471096036,-12.953394069336616
中等难度 Mid-10,3352,0.09312738701701165,0.09897076562047005,-0.0058433786034584045,-6.274608136907127
中等难度 Mid-10,3971,0.09541807174682618,0.0969099871814251,-0.0014919154345989227,-1.5635564702642897
中等难度 Mid-10,2104,0.09400811940431594,0.09699120372533798,-0.0029830843210220392,-3.173219866458774
中等难度 Mid-10,404,0.09183678179979324,0.09259997978806496,-0.0007631979882717216,-0.831037383186526
中等难度 Mid-10,626,0.08312065824866295,0.09743193462491036,-0.014311276376247406,-17.21747238025225
中等难度 Mid-10,1449,0.09563095271587371,0.09987267330288888,-0.004241720587015163,-4.4355101215164225
中等难度 Mid-10,3728,0.09012293368577957,0.10696633458137512,-0.01684340089559555,-18.689361527357
中等难度 Mid-10,199,0.09727515503764153,0.09751088172197342,-0.00023572668433188837,-0.24232979555845655
最易 Bottom-10 (原始Loss最低),2436,0.016886911913752557,0.020154373534023762,-0.003267461620271205,-19.349077184504125
最易 Bottom-10 (原始Loss最低),2623,0.01673877900466323,0.01323322495445609,0.00350555405020714,20.942710631585093
最易 Bottom-10 (原始Loss最低),3324,0.0155630549415946,0.013183464296162128,0.0023795906454324722,15.289997075526983
最易 Bottom-10 (原始Loss最低),2886,0.014318677131086588,0.013378021400421857,0.0009406557306647304,6.569431813100375
最易 Bottom-10 (原始Loss最低),3398,0.013705825060606002,0.013158407155424356,0.0005474179051816463,3.9940529137137712
最易 Bottom-10 (原始Loss最低),645,0.015661259554326533,0.013168874010443688,0.0024923855438828448,15.914336488946738
最易 Bottom-10 (原始Loss最低),1974,0.01430050227791071,0.01566293928772211,-0.001362437009811401,-9.527196900740272
最易 Bottom-10 (原始Loss最低),1436,0.012954013794660569,0.01199495205655694,0.0009590617381036292,7.403587438658886
最易 Bottom-10 (原始Loss最低),2395,0.01371221961453557,0.012960278242826462,0.000751941371709107,5.483731976637942
最易 Bottom-10 (原始Loss最低),3170,0.010898359306156635,0.009404698107391595,0.0014936611987650394,13.705376715936035
