support,itemsets
0.5713585090730751,['S0']
0.5816576753310446,['S1']
0.5723393820500245,['S2']
0.6071603727317313,['S3']
0.5703776360961256,['S4']
0.5777341834232467,['S5']
0.5811672388425699,['S6']
0.5836194212849436,['S7']
0.5899950956351152,['S8']
0.5718489455615497,['S9']
0.5669445806768023,['S10']
0.575282000980873,['S11']
0.5914664051005395,['S12']
0.5703776360961256,['S13']
0.5738106915154487,['S14']
0.616969102501226,['S15']
0.7263364394310937,['S16']
0.5914664051005395,['S17']
0.573320255026974,['S18']
0.6336439431093673,['S19']
0.6302108876900442,['S20']
0.5846002942618931,['S21']
0.5777341834232467,['S22']
0.5654732712113781,['S23']
0.5934281510544385,['S24']
0.5723393820500245,['S25']
0.6998528690534576,['S26']
0.805787150564002,['S27']
0.5718489455615497,['S28']
0.8675821481118196,['S29']
0.7459538989700834,['S30']
0.6120647376164786,['S31']
0.6051986267778323,['S32']
0.6027464443354585,['S33']
0.6326630701324178,['S34']
0.6581657675331045,['S35']
0.6444335458558117,['S36']
0.5880333496812162,['S37']
0.577243746934772,['S38']
0.5713585090730751,['S39']
0.5723393820500245,['S40']
0.5831289847964689,['S41']
0.5669445806768023,['S42']
0.5899950956351152,['S43']
0.5777341834232467,['S44']
0.5850907307503679,['S45']
0.5880333496812162,['S46']
0.5664541441883276,['S47']
0.5610593428151054,['S48']
0.6002942618930849,['S49']
0.560078469838156,['S50']
0.6223639038744483,['S51']
0.5929377145659637,['S52']
0.6199117214320745,['S53']
0.5870524767042667,['S54']
0.5757724374693477,['S55']
0.603727317312408,['S56']
0.5826385483079941,['S57']
0.5698871996076508,['S58']
0.6665031878371751,['S59']
0.6944580676802354,['S60']
0.5031878371750859,"['S29', 'S0']"
0.50465914664051,"['S1', 'S29']"
0.5252574791564493,"['S29', 'S3']"
0.5041687101520353,"['S29', 'S6']"
0.5159391858754291,"['S29', 'S7']"
0.5120156939676312,"['S8', 'S29']"
0.5007356547327121,"['S29', 'S11']"
0.5159391858754291,"['S29', 'S12']"
0.5002452182442374,"['S29', 'S13']"
0.5041687101520353,"['S29', 'S14']"
0.5355566454144188,"['S29', 'S15']"
0.5659637076998528,"['S27', 'S16']"
0.607650809220206,"['S29', 'S16']"
0.5272192251103482,"['S30', 'S16']"
0.5100539480137323,"['S29', 'S17']"
0.5125061304561059,"['S19', 'S27']"
0.5380088278567925,"['S19', 'S29']"
0.5041687101520353,"['S27', 'S20']"
0.5487984306032369,"['S29', 'S20']"
0.5080922020598333,"['S29', 'S21']"
0.5051495831289848,"['S29', 'S22']"
0.5434036292300147,"['S26', 'S27']"
0.5860716037273173,"['S26', 'S29']"
0.510544384502207,"['S26', 'S30']"
0.6738597351642962,"['S27', 'S29']"
0.5757724374693477,"['S30', 'S27']"
0.5061304561059343,"['S27', 'S34']"
0.5232957332025503,"['S35', 'S27']"
0.5100539480137323,"['S36', 'S27']"
0.5272192251103482,"['S27', 'S59']"
0.5507601765571358,"['S27', 'S60']"
0.6218734673859735,"['S30', 'S29']"
0.5296714075527219,"['S29', 'S31']"
0.5188818048062775,"['S29', 'S32']"
0.5208435507601765,"['S33', 'S29']"
0.538989700833742,"['S29', 'S34']"
0.5689063266307013,"['S35', 'S29']"
0.5473271211378127,"['S36', 'S29']"
0.5110348209906818,"['S29', 'S37']"
0.5179009318293281,"['S41', 'S29']"
0.5110348209906818,"['S29', 'S43']"
0.5012260912211869,"['S44', 'S29']"
0.5056400196174595,"['S29', 'S45']"
0.5154487493869544,"['S29', 'S46']"
0.5174104953408534,"['S29', 'S49']"
0.5380088278567925,"['S29', 'S51']"
0.5183913683178029,"['S29', 'S52']"
0.5380088278567925,"['S29', 'S53']"
0.5071113290828838,"['S29', 'S54']"
0.5223148602256008,"['S56', 'S29']"
0.508582638548308,"['S57', 'S29']"
0.5698871996076508,"['S29', 'S59']"
0.5963707699852869,"['S29', 'S60']"
0.5179009318293281,"['S30', 'S60']"
