antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'S1'}),frozenset({'S0'}),0.68,0.6257142857142857,0.42857142857142855,0.630252100840336,1.007252215954875,1.0,0.0030857142857142472,1.012272727272727,0.02249999999999972,0.488599348534202,0.012123933542882579,0.6575918038448255
frozenset({'S0'}),frozenset({'S1'}),0.6257142857142857,0.68,0.42857142857142855,0.684931506849315,1.007252215954875,1.0,0.0030857142857142472,1.0156521739130433,0.019236641221373803,0.488599348534202,0.01541095890410932,0.6575918038448255
frozenset({'S0'}),frozenset({'S2'}),0.6257142857142857,0.6671428571428571,0.42428571428571427,0.678082191780822,1.0163972896072277,1.0,0.006844897959183693,1.0339817629179333,0.04310278356079895,0.4884868421052632,0.032864953847962966,0.6570282479246722
frozenset({'S2'}),frozenset({'S0'}),0.6671428571428571,0.6257142857142857,0.42428571428571427,0.6359743040685224,1.0163972896072277,1.0,0.006844897959183693,1.0281848739495798,0.04846750769497565,0.4884868421052632,0.027412262778495084,0.6570282479246722
frozenset({'S0'}),frozenset({'S8'}),0.6257142857142857,0.6528571428571428,0.4157142857142857,0.6643835616438356,1.017655346062768,1.0,0.007212244897959241,1.0343440233236152,0.04635240418666913,0.4817880794701987,0.033203675517222066,0.6505725248044123
frozenset({'S8'}),frozenset({'S0'}),0.6528571428571428,0.6257142857142857,0.4157142857142857,0.6367614879649891,1.017655346062768,1.0,0.007212244897959241,1.030413080895009,0.049976666242416916,0.4817880794701987,0.029515425860658032,0.6505725248044123
frozenset({'S0'}),frozenset({'S10'}),0.6257142857142857,0.6485714285714286,0.4114285714285714,0.6575342465753425,1.0138193229135237,1.0,0.005608163265306165,1.0261714285714287,0.03641857506361351,0.4768211920529802,0.02550395366967388,0.6459477400277593
frozenset({'S10'}),frozenset({'S0'}),0.6485714285714286,0.6257142857142857,0.4114285714285714,0.6343612334801761,1.0138193229135235,1.0,0.005608163265306165,1.0236488812392426,0.03878726287262903,0.4768211920529802,0.023102532198944023,0.6459477400277593
frozenset({'S13'}),frozenset({'S0'}),0.6642857142857143,0.6257142857142857,0.42714285714285716,0.6430107526881721,1.027642755437718,1.0,0.011489795918367407,1.048450946643718,0.08012524016224334,0.4950331125827815,0.04621193466305533,0.662829577257328
frozenset({'S0'}),frozenset({'S13'}),0.6257142857142857,0.6642857142857143,0.42714285714285716,0.6826484018264841,1.027642755437718,1.0,0.011489795918367407,1.0578622816032892,0.07186805892414956,0.4950331125827815,0.054697367142718736,0.662829577257328
frozenset({'S25'}),frozenset({'S0'}),0.6514285714285715,0.6257142857142857,0.41714285714285715,0.6403508771929824,1.023391812865497,1.0,0.009534693877551015,1.0406968641114984,0.06557377049180324,0.4850498338870432,0.039105397080487575,0.6535087719298246
frozenset({'S0'}),frozenset({'S25'}),0.6257142857142857,0.6514285714285715,0.41714285714285715,0.6666666666666667,1.023391812865497,1.0,0.009534693877551015,1.0457142857142858,0.061068702290076285,0.4850498338870432,0.04371584699453562,0.6535087719298246
frozenset({'S0'}),frozenset({'S32'}),0.6257142857142857,0.6085714285714285,0.38857142857142857,0.6210045662100457,1.0204300383733147,1.0,0.007779591836734712,1.0328055077452671,0.0534912438257747,0.4594594594594595,0.031763490317635173,0.6297511093961027
frozenset({'S32'}),frozenset({'S0'}),0.6085714285714285,0.6257142857142857,0.38857142857142857,0.6384976525821596,1.0204300383733145,1.0,0.007779591836734712,1.035361781076067,0.05114856161442691,0.4594594594594595,0.034154033616457136,0.6297511093961027
frozenset({'S0'}),frozenset({'S38'}),0.6257142857142857,0.62,0.38857142857142857,0.6210045662100457,1.001620268080719,1.0,0.0006285714285714783,1.0026506024096387,0.004321957790750229,0.4533333333333334,0.002643595289594061,0.623866338404562
frozenset({'S38'}),frozenset({'S0'}),0.62,0.6257142857142857,0.38857142857142857,0.6267281105990783,1.001620268080719,1.0,0.0006285714285714783,1.002716049382716,0.004256965944272783,0.4533333333333334,0.0027086924402856378,0.623866338404562
frozenset({'S39'}),frozenset({'S0'}),0.6857142857142857,0.6257142857142857,0.43,0.6270833333333333,1.00218797564688,1.0,0.000938775510204104,1.0036711891460497,0.006946541830262926,0.4878444084278768,0.003657760814249469,0.6571489726027397
frozenset({'S0'}),frozenset({'S39'}),0.6257142857142857,0.6857142857142857,0.43,0.6872146118721462,1.00218797564688,1.0,0.000938775510204104,1.0047966631908238,0.005832974055945968,0.4878444084278768,0.004773765047737774,0.6571489726027397
frozenset({'S42'}),frozenset({'S0'}),0.6771428571428572,0.6257142857142857,0.43142857142857144,0.6371308016877637,1.0182455734735951,1.0,0.007730612244898016,1.0314617940199338,0.05550020512219463,0.49508196721311476,0.030502141913872613,0.6633142592913704
frozenset({'S0'}),frozenset({'S42'}),0.6257142857142857,0.6771428571428572,0.43142857142857144,0.6894977168949772,1.018245573473595,1.0,0.007730612244898016,1.0397899159663866,0.047874222738992306,0.49508196721311476,0.03826726471895584,0.6633142592913704
frozenset({'S0'}),frozenset({'S43'}),0.6257142857142857,0.6514285714285715,0.4085714285714286,0.6529680365296804,1.0023632139710006,1.0,0.0009632653061224516,1.0044360902255638,0.006299044466983415,0.4703947368421053,0.004416498240886237,0.6400805094929103
frozenset({'S43'}),frozenset({'S0'}),0.6514285714285715,0.6257142857142857,0.4085714285714286,0.6271929824561403,1.0023632139710006,1.0,0.0009632653061224516,1.0039663865546218,0.006763728075203504,0.4703947368421053,0.003950716485871161,0.6400805094929103
frozenset({'S45'}),frozenset({'S0'}),0.6257142857142857,0.6257142857142857,0.39714285714285713,0.634703196347032,1.0143658389107817,1.0,0.005624489795918397,1.024607142857143,0.037838431544840664,0.46488294314381273,0.02401617344626878,0.634703196347032
frozenset({'S0'}),frozenset({'S45'}),0.6257142857142857,0.6257142857142857,0.39714285714285713,0.634703196347032,1.0143658389107817,1.0,0.005624489795918397,1.024607142857143,0.037838431544840664,0.46488294314381273,0.02401617344626878,0.634703196347032
frozenset({'S0'}),frozenset({'S46'}),0.6257142857142857,0.6457142857142857,0.40714285714285714,0.6506849315068494,1.0076979027760942,1.0,0.003110204081632706,1.0142296918767508,0.020409803133789015,0.4710743801652893,0.014030048608042635,0.6406079524790884
frozenset({'S46'}),frozenset({'S0'}),0.6457142857142857,0.6257142857142857,0.40714285714285714,0.6305309734513275,1.0076979027760942,1.0,0.003110204081632706,1.013036783575706,0.02156196943972872,0.4710743801652893,0.012869013037897944,0.6406079524790884
frozenset({'S0'}),frozenset({'S48'}),0.6257142857142857,0.6328571428571429,0.3985714285714286,0.6369863013698631,1.0065246297040726,1.0,0.0025836734693877594,1.0113746630727765,0.017319215300008236,0.4634551495016612,0.011246735248654301,0.6333915705494914
frozenset({'S48'}),frozenset({'S0'}),0.6328571428571429,0.6257142857142857,0.3985714285714286,0.6297968397291196,1.0065246297040724,1.0,0.0025836734693877594,1.0110278745644599,0.017656165014016182,0.4634551495016612,0.010907587062533393,0.6333915705494914
frozenset({'S0'}),frozenset({'S51'}),0.6257142857142857,0.61,0.3914285714285714,0.6255707762557078,1.0255258627142751,1.0,0.009742857142857164,1.0415853658536587,0.06650136513066265,0.4636209813874788,0.03992506732232768,0.6336284794627485
frozenset({'S51'}),frozenset({'S0'}),0.61,0.6257142857142857,0.3914285714285714,0.6416861826697892,1.025525862714275,1.0,0.009742857142857164,1.0445751633986928,0.06382182294591068,0.4636209813874788,0.0426730071330246,0.6336284794627485
frozenset({'S52'}),frozenset({'S0'}),0.6428571428571429,0.6257142857142857,0.40714285714285714,0.6333333333333333,1.0121765601217656,1.0,0.004897959183673473,1.0207792207792208,0.033684210526315816,0.47263681592039797,0.020356234096692155,0.6420091324200914
