epoch,train_loss,val_loss,lr
1,0.9313424849510192,0.6074901998043061,0.0009999961446907353
2,0.9408676385879516,0.599338150024414,0.0009999845788223947
3,0.9300257015228272,0.5949214577674866,0.0009999653025733384
4,0.8904893922805787,0.5989920020103454,0.00099993831624083
5,0.8625196099281311,0.5591040432453156,0.0009999036202410323
6,0.8708187913894654,0.5470601439476013,0.0009998612151090002
7,0.8712431728839874,0.5442426979541779,0.0009998111014986734
8,0.8720985972881317,0.5359491884708405,0.0009997532801828658
9,0.8241930198669434,0.5396939396858216,0.0009996877520532534
10,0.8819610857963562,0.5331355988979339,0.0009996145181203615
11,0.8564311218261719,0.5368168294429779,0.0009995335795135475
12,0.821882666349411,0.5382021307945252,0.0009994449374809851
13,0.8070800375938415,0.5392747759819031,0.0009993485933896438
14,0.831051551103592,0.5416855335235595,0.000999244548725269
15,0.8228715837001801,0.5305293142795563,0.000999132805092358
16,0.8196613931655884,0.536125761270523,0.0009990133642141358
17,0.8081664597988129,0.5260998189449311,0.0009988862279325286
18,0.7688011598587036,0.5284098625183106,0.000998751398208135
19,0.7939337956905365,0.5239009201526642,0.0009986088771201964
20,0.823605010509491,0.526099580526352,0.000998458666866564
21,0.7682968723773956,0.5274270236492157,0.000998300769763666
22,0.7996031308174133,0.5368591785430908,0.0009981351882464707
23,0.8002390420436859,0.5306679785251618,0.0009979619248684504
24,0.7970196366310119,0.5245885789394379,0.0009977809823015402
25,0.7908919036388398,0.5240710139274597,0.0009975923633360987
26,0.7819498705863953,0.519055861234665,0.0009973960708808635
27,0.76486443400383,0.5216159343719482,0.000997192107962907
28,0.7472456765174865,0.5266184151172638,0.00099698047772759
29,0.7849106287956238,0.5215738892555237,0.0009967611834385123
30,0.7630574691295624,0.521696251630783,0.0009965342284774634
31,0.7999494016170502,0.5243851780891419,0.000996299616344369
32,0.7853719174861908,0.5253348469734191,0.000996057350657239
33,0.7754726707935333,0.5131830871105194,0.0009958074351521095
34,0.7883208525180817,0.5145334273576736,0.0009955498736829874
35,0.8116725301742553,0.5116899996995926,0.0009952846702217886
36,0.7951421856880188,0.5157806217670441,0.0009950118288582787
37,0.7825200581550598,0.5129202365875244,0.000994731353800009
38,0.7876650041341782,0.5127119600772858,0.0009944432493722523
39,0.7694536375999451,0.5168515384197235,0.0009941475200179344
40,0.7809537863731384,0.5230820775032043,0.0009938441702975688
41,0.8068187844753265,0.515140849351883,0.0009935332048891827
42,0.7681911957263946,0.5140158385038376,0.0009932146285882477
43,0.7910573267936707,0.5135410547256469,0.0009928884463076043
44,0.7900403952598571,0.5104245871305466,0.000992554663077387
45,0.7596838438510894,0.516094970703125,0.0009922132840449458
46,0.7771193957328797,0.5194807529449463,0.000991864314474768
47,0.7597598671913147,0.5119242548942566,0.0009915077597483957
48,0.7927195638418197,0.5119882106781006,0.0009911436253643442
49,0.7857852900028228,0.5098335951566696,0.000990771916938016
50,0.7634567320346832,0.512264484167099,0.0009903926402016151
51,0.7602659338712692,0.5059566855430603,0.0009900058010040578
52,0.7668741923570633,0.5089449316263199,0.0009896114053108828
53,0.7547037255764008,0.5092057347297668,0.00098920945920416
54,0.7711195003986359,0.5098298877477646,0.0009887999688823954
55,0.7614065539836884,0.5072471082210541,0.0009883829406604362
56,0.7434073221683503,0.5068829625844955,0.0009879583809693736
57,0.7731155037879944,0.5074746787548066,0.0009875262963564434
58,0.7600618815422058,0.5047514349222183,0.0009870866934849245
59,0.7486393535137177,0.5083275347948074,0.0009866395791340373
60,0.7175329923629761,0.5076725959777832,0.0009861849601988382
61,0.7528177118301391,0.5055531799793244,0.0009857228436901133
62,0.7422675919532776,0.5029541730880738,0.000985253236734271
63,0.732484620809555,0.5027632802724838,0.0009847761465732316
64,0.7696253108978272,0.5032127529382706,0.0009842915805643154
65,0.7509451222419739,0.5021003395318985,0.0009837995461801298
66,0.7329684114456176,0.5018225997686386,0.0009833000510084536
67,0.7702936804294587,0.5050109326839447,0.0009827931027521202
68,0.7613536989688874,0.5055680394172668,0.000982278709228899
69,0.7559438252449036,0.5029942840337753,0.0009817568783713744
70,0.7427484428882599,0.5035334646701812,0.0009812276182268236
71,0.7621783864498138,0.49575514197349546,0.0009806909369570928
72,0.7287755608558655,0.49913879334926603,0.0009801468428384714
73,0.7638859689235687,0.5003726422786713,0.0009795953442615635
74,0.7291279029846192,0.5070891439914703,0.0009790364497311594
75,0.7315248531103135,0.49792565405368805,0.0009784701678661042
76,0.7167511522769928,0.5002556651830673,0.0009778965073991648
77,0.7457303071022033,0.5036252558231353,0.0009773154771768953
78,0.7731767427921296,0.5025326520204544,0.0009767270861595003
79,0.7467724084854126,0.5008825719356537,0.0009761313434206975
80,0.7263357889652252,0.5024326056241989,0.0009755282581475766
81,0.7231425100564957,0.49486089646816256,0.0009749178396404586
82,0.7514296412467957,0.5022401511669159,0.0009743000973127521
83,0.7555929732322693,0.4979230374097824,0.0009736750406908081
84,0.7329340863227845,0.4959191918373108,0.0009730426794137726
85,0.7302825593948364,0.5036232143640518,0.000972403023233439
86,0.7120120191574096,0.5046610057353973,0.0009717560820140967
87,0.7197404146194458,0.5001245826482773,0.0009711018657323799
88,0.709667043685913,0.4964777290821075,0.0009704403844771127
89,0.7639643430709839,0.5095873653888703,0.0009697716484491544
90,0.7544162404537201,0.4907096564769745,0.000969095667961242
91,0.7152953732013703,0.4910420745611191,0.0009684124534378306
92,0.7309508174657822,0.4947117954492569,0.0009677220154149336
93,0.7030291593074799,0.5017523527145386,0.0009670243645399591
94,0.7184578305482865,0.4983622580766678,0.0009663195115715469
95,0.7100027984380722,0.49412805736064913,0.0009656074673794016
96,0.7229904145002365,0.4945267289876938,0.0009648882429441255
97,0.7237582933902741,0.49387828409671786,0.0009641618493570493
98,0.7433150124549865,0.49026353359222413,0.0009634282978200602
99,0.7190496158599854,0.4935053288936615,0.0009626875996454309
100,0.7388373672962188,0.4890127837657928,0.0009619397662556432
101,0.6852268087863922,0.4934281140565872,0.0009611848091832132
102,0.7141290521621704,0.4888759970664978,0.0009604227400705131
103,0.7088984632492066,0.4910066664218903,0.0009596535706695909
104,0.6969562113285065,0.48692269921302794,0.0009588773128419904
105,0.691303339600563,0.49665550589561464,0.000958093978558568
106,0.6745170509815216,0.5007886111736297,0.0009573035798993067
107,0.7011098456382752,0.4924696862697601,0.000956506129053132
108,0.6964202123880386,0.4940842390060425,0.0009557016383177225
109,0.7190755951404572,0.49240258932113645,0.0009548901200993204
110,0.6670108437538147,0.4874974757432938,0.0009540715869125406
111,0.6849462914466858,0.4893956661224365,0.0009532460513801773
112,0.6653286993503571,0.4864343613386154,0.0009524135262330097
113,0.7039070582389831,0.48680356740951536,0.0009515740243096055
114,0.707658087015152,0.49414804577827454,0.0009507275585561227
115,0.7199563431739807,0.4913122355937958,0.0009498741420261108
116,0.7029603385925293,0.4881302207708359,0.0009490137878803077
117,0.7372082018852234,0.4852564424276352,0.0009481465093864394
118,0.6894459640979766,0.4832336395978928,0.0009472723199190125
119,0.6773084306716919,0.49204767644405367,0.0009463912329591104
120,0.7167354100942611,0.48919437229633334,0.0009455032620941839
121,0.7254458391666412,0.48397636115550996,0.0009446084210178423
