epoch,train_loss,val_loss,lr
1,0.0446831290051341,0.029191170074045657,9.999383162408304e-05
2,0.03489356096833944,0.02857435755431652,9.997532801828658e-05
3,0.034154287353157994,0.03089011237025261,9.994449374809851e-05
4,0.03745131514966488,0.02750631906092167,9.990133642141359e-05
5,0.036872365400195124,0.028672128356993197,9.98458666866564e-05
6,0.04517385147511959,0.025492164492607116,9.9778098230154e-05
7,0.035932781510055065,0.02762441188097,9.9698047772759e-05
8,0.03542743787169456,0.030067512206733225,9.96057350657239e-05
9,0.03646683547645807,0.028005794435739518,9.950118288582787e-05
10,0.03797161780297756,0.028815441764891148,9.938441702975689e-05
11,0.03729412205517292,0.02781069781631231,9.925546630773869e-05
12,0.0332796673849225,0.03025283943861723,9.911436253643444e-05
13,0.04021228648722172,0.029025463759899138,9.896114053108829e-05
14,0.04298280999064445,0.03228217102587223,9.879583809693738e-05
15,0.03220805671066046,0.030212892219424248,9.861849601988384e-05
16,0.032653767131268975,0.027905113995075226,9.842915805643157e-05
17,0.046869071982800964,0.028377567790448664,9.822787092288992e-05
18,0.03583498992025852,0.025614030845463275,9.801468428384718e-05
19,0.03354137528687715,0.028861589916050433,9.778965073991652e-05
20,0.058669141829013824,0.028395730815827847,9.75528258147577e-05
21,0.04370243892073631,0.028912089206278323,9.730426794137729e-05
22,0.03341310851275921,0.02840076107531786,9.70440384477113e-05
23,0.030541208982467653,0.028785980865359308,9.67722015414934e-05
24,0.04762101616710424,0.02718511186540127,9.64888242944126e-05
25,0.035999797843396665,0.02837417684495449,9.619397662556436e-05
26,0.03698276177048683,0.026357372850179674,9.588773128419907e-05
27,0.03041009485721588,0.03364365659654141,9.557016383177228e-05
28,0.042426142133772375,0.028615355864167212,9.524135262330099e-05
29,0.038598099388182164,0.02539340276271105,9.49013787880308e-05
30,0.04061389930546284,0.024774099700152874,9.455032620941841e-05
31,0.04017632447183132,0.029334762319922447,9.418828150443471e-05
32,0.032804325595498084,0.024106642045080662,9.381533400219321e-05
33,0.045079864636063574,0.028608109802007675,9.343157572190959e-05
34,0.04019895121455193,0.028712036833167077,9.303710135019721e-05
35,0.03296796187758446,0.027232287079095842,9.263200821770464e-05
36,0.035625865273177626,0.02902464158833027,9.221639627510079e-05
