support,itemsets
0.6257142857142857,['S0']
0.68,['S1']
0.6671428571428571,['S2']
0.6228571428571429,['S3']
0.6671428571428571,['S4']
0.6285714285714286,['S5']
0.6385714285714286,['S6']
0.64,['S7']
0.6528571428571428,['S8']
0.6528571428571428,['S9']
0.6485714285714286,['S10']
0.6814285714285714,['S11']
0.6628571428571428,['S12']
0.6642857142857143,['S13']
0.6342857142857142,['S14']
0.6042857142857143,['S15']
0.45714285714285713,['S16']
0.6671428571428571,['S17']
0.6557142857142857,['S18']
0.38285714285714284,['S19']
0.3742857142857143,['S20']
0.6471428571428571,['S21']
0.67,['S22']
0.6185714285714285,['S23']
0.6314285714285715,['S24']
0.6514285714285715,['S25']
0.48857142857142855,['S26']
0.4114285714285714,['S27']
0.6428571428571429,['S28']
0.3442857142857143,['S29']
0.4442857142857143,['S30']
0.62,['S31']
0.6085714285714285,['S32']
0.6085714285714285,['S33']
0.51,['S34']
0.5442857142857143,['S35']
0.6171428571428571,['S36']
0.6442857142857142,['S37']
0.62,['S38']
0.6857142857142857,['S39']
0.63,['S40']
0.6357142857142857,['S41']
0.6771428571428572,['S42']
0.6514285714285715,['S43']
0.6342857142857142,['S44']
0.6257142857142857,['S45']
0.6457142857142857,['S46']
0.6757142857142857,['S47']
0.6328571428571429,['S48']
0.67,['S49']
0.6457142857142857,['S50']
0.61,['S51']
0.6428571428571429,['S52']
0.6185714285714285,['S53']
0.6442857142857142,['S54']
0.6371428571428571,['S55']
0.65,['S56']
0.6557142857142857,['S57']
0.6857142857142857,['S58']
0.5157142857142857,['S59']
0.42857142857142855,"['S1', 'S0']"
0.42428571428571427,"['S0', 'S2']"
0.3757142857142857,"['S3', 'S0']"
0.4157142857142857,"['S0', 'S4']"
0.3871428571428571,"['S5', 'S0']"
0.38857142857142857,"['S6', 'S0']"
0.4,"['S7', 'S0']"
0.4157142857142857,"['S0', 'S8']"
0.4014285714285714,"['S9', 'S0']"
0.4114285714285714,"['S0', 'S10']"
0.42142857142857143,"['S0', 'S11']"
